frozenset({'0'})	{('0',): [342, 1]}
frozenset({'0', '7'})	{('0',): [342, 1], ('7',): [350, 2], ('0', '7'): [127, 3]}
frozenset({'6', '5'})	{('6',): [272, 1], ('5',): [354, 2], ('6', '5'): [107, 3]}
frozenset({'4', '6'})	{('4',): [290, 1], ('6',): [272, 2], ('4', '6'): [83, 3]}
frozenset({'6', '3'})	{('6',): [272, 1], ('3',): [583, 2], ('6', '3'): [163, 3]}
frozenset({'6', '2'})	{('6',): [272, 1], ('2',): [20, 2], ('6', '2'): [6, 3]}
frozenset({'19', '6'})	{('19',): [286, 1], ('6',): [272, 2], ('19', '6'): [84, 3]}
frozenset({'18', '6'})	{('18',): [285, 1], ('6',): [272, 2], ('18', '6'): [90, 3]}
frozenset({'17', '6'})	{('17',): [540, 1], ('6',): [272, 2], ('17', '6'): [147, 3]}
frozenset({'16', '6'})	{('16',): [136, 1], ('6',): [272, 2], ('16', '6'): [45, 3]}
frozenset({'15', '6'})	{('15',): [173, 1], ('6',): [272, 2], ('15', '6'): [48, 3]}
frozenset({'14', '6'})	{('14',): [538, 1], ('6',): [272, 2], ('14', '6'): [151, 3]}
frozenset({'13', '6'})	{('13',): [255, 1], ('6',): [272, 2], ('13', '6'): [88, 3]}
frozenset({'12', '6'})	{('12',): [277, 1], ('6',): [272, 2], ('12', '6'): [73, 3]}
frozenset({'11', '6'})	{('11',): [581, 1], ('6',): [272, 2], ('11', '6'): [173, 3]}
frozenset({'10', '6'})	{('10',): [319, 1], ('6',): [272, 2], ('10', '6'): [98, 3]}
frozenset({'1', '6'})	{('1',): [66, 1], ('6',): [272, 2], ('1', '6'): [9, 3]}
frozenset({'0', '6'})	{('0',): [342, 1], ('6',): [272, 2], ('0', '6'): [92, 3]}
frozenset({'4', '5'})	{('4',): [290, 1], ('5',): [354, 2], ('4', '5'): [115, 3]}
frozenset({'5', '3'})	{('5',): [354, 1], ('3',): [583, 2], ('5', '3'): [221, 3]}
frozenset({'5', '2'})	{('5',): [354, 1], ('2',): [20, 2], ('5', '2'): [8, 3]}
frozenset({'19', '5'})	{('19',): [286, 1], ('5',): [354, 2], ('19', '5'): [107, 3]}
frozenset({'18', '5'})	{('18',): [285, 1], ('5',): [354, 2], ('18', '5'): [109, 3]}
frozenset({'17', '5'})	{('17',): [540, 1], ('5',): [354, 2], ('17', '5'): [198, 3]}
frozenset({'16', '5'})	{('16',): [136, 1], ('5',): [354, 2], ('16', '5'): [50, 3]}
frozenset({'15', '5'})	{('15',): [173, 1], ('5',): [354, 2], ('15', '5'): [63, 3]}
frozenset({'14', '5'})	{('14',): [538, 1], ('5',): [354, 2], ('14', '5'): [203, 3]}
frozenset({'13', '5'})	{('13',): [255, 1], ('5',): [354, 2], ('13', '5'): [95, 3]}
frozenset({'12', '5'})	{('12',): [277, 1], ('5',): [354, 2], ('12', '5'): [103, 3]}
frozenset({'11', '5'})	{('11',): [581, 1], ('5',): [354, 2], ('11', '5'): [225, 3]}
frozenset({'10', '5'})	{('10',): [319, 1], ('5',): [354, 2], ('10', '5'): [120, 3]}
frozenset({'1', '5'})	{('1',): [66, 1], ('5',): [354, 2], ('1', '5'): [22, 3]}
frozenset({'0', '5'})	{('0',): [342, 1], ('5',): [354, 2], ('0', '5'): [137, 3]}
frozenset({'4', '3'})	{('4',): [290, 1], ('3',): [583, 2], ('4', '3'): [179, 3]}
